Parameter,Value
Loan Type,פריים
Interest Rate (%),3.75
Loan Term (months),132
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,132
Total Mortgage Interest,207812.50
Extraction Timestamp,20250727_163939
Monthly Income,"12,000.00"
Total Investment Amount,"376,187.50"
Total Investment Final Value,"528,114.80"
Total Investment Profit After Tax,"72,163.13"
Effective Annual Return After Tax,2.70%
Weighted Monthly Payment (30 years),"7,264.45"
Weighted Cost (should be ~0),-0.26
Weighted Investment Profit,"207,812.24"
Weighted Calculation Converged,Yes
