Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.75
Loan Term (months),60
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,60
Total Mortgage Interest,97311.69
Extraction Timestamp,20250727_192843
Monthly Income,"12,000.00"
Total Investment Amount,0.00
Total Investment Final Value,0.00
Total Investment Profit After Tax,0.00
Effective Annual Return After Tax,0.00%
Weighted Monthly Payment (30 years),"8,668.77"
Weighted Cost (should be ~0),-0.05
Weighted Investment Profit,"128,420.27"
Weighted Calculation Converged,Yes
