Parameter,Value
Loan Type,פריים
Interest Rate (%),2.75
Loan Term (months),240
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,276145.83
Extraction Timestamp,20250727_193459
Monthly Income,"12,000.00"
Total Investment Amount,"1,603,854.17"
Total Investment Final Value,"3,366,174.23"
Total Investment Profit After Tax,"909,964.93"
Effective Annual Return After Tax,3.29%
Weighted Monthly Payment (30 years),"5,728.63"
Weighted Cost (should be ~0),0.28
Weighted Investment Profit,"276,146.12"
Weighted Calculation Converged,Yes
