Parameter,Value
Loan Type,פריים
Interest Rate (%),2.25
Loan Term (months),348
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,348
Total Mortgage Interest,327187.50
Extraction Timestamp,20250727_182532
Monthly Income,"12,000.00"
Total Investment Amount,"2,848,812.50"
Total Investment Final Value,"8,936,914.16"
Total Investment Profit After Tax,"3,371,963.43"
Effective Annual Return After Tax,3.54%
Weighted Monthly Payment (30 years),"4,708.01"
Weighted Cost (should be ~0),-0.02
Weighted Investment Profit,"327,187.48"
Weighted Calculation Converged,Yes
