Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),2.25
Loan Term (months),276
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,276
Total Mortgage Interest,259687.50
Extraction Timestamp,20250727_153144
Monthly Income,"12,000.00"
Total Investment Amount,"2,052,312.50"
Total Investment Final Value,"4,937,181.38"
Total Investment Profit After Tax,"1,527,188.49"
Effective Annual Return After Tax,3.40%
Weighted Monthly Payment (30 years),"5,132.72"
Weighted Cost (should be ~0),0.38
Weighted Investment Profit,"259,687.88"
Weighted Calculation Converged,Yes
