Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),5.5
Loan Term (months),360
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,שפיצר
Total Monthly Payments,360
Total Mortgage Interest,1044040.40
Extraction Timestamp,20250729_034138
Monthly Income,"12,000.00"
Total Investment Amount,"2,275,959.60"
Total Investment Final Value,"7,757,782.10"
Total Investment Profit After Tax,"3,067,553.48"
Effective Annual Return After Tax,3.68%
Weighted Monthly Payment (30 years),"7,242.97"
Weighted Cost (should be ~0),-0.91
Weighted Investment Profit,"1,044,039.49"
Weighted Calculation Converged,Yes
