Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),4.0
Loan Term (months),312
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,521666.67
Extraction Timestamp,20250727_184622
Monthly Income,"12,000.00"
Total Investment Amount,"2,222,333.33"
Total Investment Final Value,"5,888,065.93"
Total Investment Profit After Tax,"1,979,136.54"
Effective Annual Return After Tax,3.35%
Weighted Monthly Payment (30 years),"6,249.22"
Weighted Cost (should be ~0),-0.45
Weighted Investment Profit,"521,666.22"
Weighted Calculation Converged,Yes
