Parameter,Value
Loan Type,פריים
Interest Rate (%),6.0
Loan Term (months),168
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,422500.00
Extraction Timestamp,20250727_233601
Monthly Income,"12,000.00"
Total Investment Amount,"593,500.00"
Total Investment Final Value,"894,775.35"
Total Investment Profit After Tax,"145,906.50"
Effective Annual Return After Tax,2.57%
Weighted Monthly Payment (30 years),"8,057.87"
Weighted Cost (should be ~0),-0.19
Weighted Investment Profit,"422,499.81"
Weighted Calculation Converged,Yes
