Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.5
Loan Term (months),120
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,151366.98
Extraction Timestamp,20250729_040746
Monthly Income,"12,000.00"
Total Investment Amount,"95,763.41"
Total Investment Final Value,"168,212.21"
Total Investment Profit After Tax,"35,091.92"
Effective Annual Return After Tax,5.04%
Weighted Monthly Payment (30 years),"8,508.03"
Weighted Cost (should be ~0),0.74
Weighted Investment Profit,"392,750.28"
Weighted Calculation Converged,Yes
