Parameter,Value
Loan Type,פריים
Interest Rate (%),3.25
Loan Term (months),120
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,פריים
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,172628.35
Extraction Timestamp,20250729_034641
Monthly Income,"12,000.00"
Total Investment Amount,"267,371.65"
Total Investment Final Value,"387,899.38"
Total Investment Profit After Tax,"57,322.07"
Effective Annual Return After Tax,3.27%
Weighted Monthly Payment (30 years),"7,145.52"
Weighted Cost (should be ~0),-0.92
Weighted Investment Profit,"172,627.43"
Weighted Calculation Converged,Yes
