Parameter,Value
Loan Type,פריים
Interest Rate (%),4.5
Loan Term (months),180
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,339375.00
Extraction Timestamp,20250727_191710
Monthly Income,"12,000.00"
Total Investment Amount,"820,625.00"
Total Investment Final Value,"1,351,023.62"
Total Investment Profit After Tax,"261,276.73"
Effective Annual Return After Tax,2.92%
Weighted Monthly Payment (30 years),"7,195.33"
Weighted Cost (should be ~0),-0.00
Weighted Investment Profit,"339,375.00"
Weighted Calculation Converged,Yes
