Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),5.0
Loan Term (months),240
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,502083.33
Extraction Timestamp,20250727_171426
Monthly Income,"12,000.00"
Total Investment Amount,"1,377,916.67"
Total Investment Final Value,"2,762,174.91"
Total Investment Profit After Tax,"710,880.00"
Effective Annual Return After Tax,3.08%
Weighted Monthly Payment (30 years),"7,209.35"
Weighted Cost (should be ~0),-0.93
Weighted Investment Profit,"502,082.40"
Weighted Calculation Converged,Yes
