Parameter,Value
Loan Type,פריים
Interest Rate (%),3.0
Loan Term (months),360
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,451250.00
Extraction Timestamp,20250727_192515
Monthly Income,"12,000.00"
Total Investment Amount,"2,868,750.00"
Total Investment Final Value,"9,278,501.83"
Total Investment Profit After Tax,"3,570,979.29"
Effective Annual Return After Tax,3.52%
Weighted Monthly Payment (30 years),"5,271.51"
Weighted Cost (should be ~0),-0.58
Weighted Investment Profit,"451,249.42"
Weighted Calculation Converged,Yes
