Parameter,Value
Loan Type,פריים
Interest Rate (%),5.25
Loan Term (months),276
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,276
Total Mortgage Interest,605937.50
Extraction Timestamp,20250727_171853
Monthly Income,"12,000.00"
Total Investment Amount,"1,706,062.50"
Total Investment Final Value,"3,856,163.12"
Total Investment Profit After Tax,"1,130,486.74"
Effective Annual Return After Tax,3.15%
Weighted Monthly Payment (30 years),"7,280.44"
Weighted Cost (should be ~0),0.18
Weighted Investment Profit,"605,937.68"
Weighted Calculation Converged,Yes
