Parameter,Value
Loan Type,פריים
Interest Rate (%),4.5
Loan Term (months),120
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,פריים
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,243660.91
Extraction Timestamp,20250729_012030
Monthly Income,"12,000.00"
Total Investment Amount,"196,339.09"
Total Investment Final Value,"284,846.25"
Total Investment Profit After Tax,"42,093.33"
Effective Annual Return After Tax,3.27%
Weighted Monthly Payment (30 years),"7,656.99"
Weighted Cost (should be ~0),-0.38
Weighted Investment Profit,"243,660.53"
Weighted Calculation Converged,Yes
