Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.0
Loan Term (months),60
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,60
Total Mortgage Interest,142050.85
Extraction Timestamp,20250729_052640
Monthly Income,"12,000.00"
Total Investment Amount,0.00
Total Investment Final Value,0.00
Total Investment Profit After Tax,0.00
Effective Annual Return After Tax,0.00%
Weighted Monthly Payment (30 years),"9,700.32"
Weighted Cost (should be ~0),-0.04
Weighted Investment Profit,"255,313.95"
Weighted Calculation Converged,Yes
