Parameter,Value
Loan Type,פריים
Interest Rate (%),3.75
Loan Term (months),120
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,פריים
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,200734.92
Extraction Timestamp,20250729_012830
Monthly Income,"12,000.00"
Total Investment Amount,"239,265.08"
Total Investment Final Value,"347,122.73"
Total Investment Profit After Tax,"51,296.27"
Effective Annual Return After Tax,3.27%
Weighted Monthly Payment (30 years),"7,347.90"
Weighted Cost (should be ~0),-0.31
Weighted Investment Profit,"200,734.61"
Weighted Calculation Converged,Yes
