Parameter,Value
Loan Type,פריים
Interest Rate (%),4.0
Loan Term (months),180
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,301666.67
Extraction Timestamp,20250727_230104
Monthly Income,"12,000.00"
Total Investment Amount,"858,333.33"
Total Investment Final Value,"1,429,194.48"
Total Investment Profit After Tax,"281,660.84"
Effective Annual Return After Tax,2.99%
Weighted Monthly Payment (30 years),"6,922.89"
Weighted Cost (should be ~0),0.28
Weighted Investment Profit,"301,666.95"
Weighted Calculation Converged,Yes
