Parameter,Value
Loan Type,פריים
Interest Rate (%),4.5
Loan Term (months),252
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,474375.00
Extraction Timestamp,20250727_155008
Monthly Income,"12,000.00"
Total Investment Amount,"1,549,625.00"
Total Investment Final Value,"3,277,503.75"
Total Investment Profit After Tax,"895,939.44"
Effective Annual Return After Tax,3.16%
Weighted Monthly Payment (30 years),"6,831.17"
Weighted Cost (should be ~0),-0.21
Weighted Investment Profit,"474,374.79"
Weighted Calculation Converged,Yes
