Parameter,Value
Loan Type,פריים
Interest Rate (%),4.75
Loan Term (months),168
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,פריים
Amortization Method,שפיצר
Total Monthly Payments,168
Total Mortgage Interest,370989.99
Extraction Timestamp,20250729_033007
Monthly Income,"12,000.00"
Total Investment Amount,"645,010.01"
Total Investment Final Value,"1,096,876.21"
Total Investment Profit After Tax,"222,703.76"
Effective Annual Return After Tax,3.35%
Weighted Monthly Payment (30 years),"7,289.60"
Weighted Cost (should be ~0),0.18
Weighted Investment Profit,"370,990.18"
Weighted Calculation Converged,Yes
