input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 96, 'interest': 0.045, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,96,1000000,3750,10416.666666666666,14166.666666666666,0,989583.3333333334
,2,95,989583.3333333334,3710.9375,10416.666666666668,14127.604166666668,0,979166.6666666667
,3,94,979166.6666666667,3671.875,10416.666666666668,14088.541666666668,0,968750.0000000001
,4,93,968750.0000000001,3632.8125000000005,10416.666666666668,14049.479166666668,0,958333.3333333335
,5,92,958333.3333333335,3593.7500000000005,10416.666666666668,14010.416666666668,0,947916.6666666669
,6,91,947916.6666666669,3554.6875000000005,10416.66666666667,13971.35416666667,0,937500.0000000002
,7,90,937500.0000000002,3515.625000000001,10416.66666666667,13932.291666666672,0,927083.3333333336
,8,89,927083.3333333336,3476.562500000001,10416.66666666667,13893.229166666672,0,916666.666666667
,9,88,916666.666666667,3437.500000000001,10416.66666666667,13854.166666666672,0,906250.0000000003
,10,87,906250.0000000003,3398.4375000000014,10416.666666666672,13815.104166666673,0,895833.3333333337
,11,86,895833.3333333337,3359.3750000000014,10416.666666666672,13776.041666666673,0,885416.6666666671
,12,85,885416.6666666671,3320.3125000000014,10416.666666666672,13736.979166666673,0,875000.0000000005
,13,84,875000.0000000005,3281.250000000002,10416.666666666672,13697.916666666673,0,864583.3333333338
,14,83,864583.3333333338,3242.187500000002,10416.666666666673,13658.854166666675,0,854166.6666666672
,15,82,854166.6666666672,3203.125000000002,10416.666666666673,13619.791666666675,0,843750.0000000006
,16,81,843750.0000000006,3164.0625000000023,10416.666666666673,13580.729166666675,0,833333.333333334
,17,80,833333.333333334,3125.0000000000023,10416.666666666675,13541.666666666677,0,822916.6666666673
,18,79,822916.6666666673,3085.9375000000023,10416.666666666675,13502.604166666677,0,812500.0000000007
,19,78,812500.0000000007,3046.8750000000027,10416.666666666675,13463.541666666679,0,802083.3333333341
,20,77,802083.3333333341,3007.8125000000027,10416.666666666677,13424.479166666679,0,791666.6666666674
,21,76,791666.6666666674,2968.7500000000027,10416.666666666677,13385.416666666679,0,781250.0000000008
,22,75,781250.0000000008,2929.6875000000027,10416.666666666677,13346.354166666679,0,770833.3333333342
,23,74,770833.3333333342,2890.625000000003,10416.666666666679,13307.291666666682,0,760416.6666666676
,24,73,760416.6666666676,2851.562500000003,10416.666666666679,13268.229166666682,0,750000.0000000009
,25,72,750000.0000000009,2812.500000000003,10416.666666666679,13229.166666666682,0,739583.3333333343
,26,71,739583.3333333343,2773.4375000000036,10416.66666666668,13190.104166666684,0,729166.6666666677
,27,70,729166.6666666677,2734.3750000000036,10416.66666666668,13151.041666666684,0,718750.000000001
,28,69,718750.000000001,2695.3125000000036,10416.666666666682,13111.979166666686,0,708333.3333333344
,29,68,708333.3333333344,2656.250000000004,10416.666666666682,13072.916666666686,0,697916.6666666678
,30,67,697916.6666666678,2617.187500000004,10416.666666666684,13033.854166666688,0,687500.0000000012
,31,66,687500.0000000012,2578.125000000004,10416.666666666684,12994.791666666688,0,677083.3333333345
,32,65,677083.3333333345,2539.0625000000045,10416.666666666686,12955.72916666669,0,666666.6666666679
,33,64,666666.6666666679,2500.0000000000045,10416.666666666686,12916.66666666669,0,656250.0000000012
,34,63,656250.0000000012,2460.937500000004,10416.666666666684,12877.604166666688,0,645833.3333333345
,35,62,645833.3333333345,2421.8750000000045,10416.666666666686,12838.54166666669,0,635416.6666666679
,36,61,635416.6666666679,2382.8125000000045,10416.666666666688,12799.479166666693,0,625000.0000000012
,37,60,625000.0000000012,2343.750000000004,10416.666666666686,12760.41666666669,0,614583.3333333344
,38,59,614583.3333333344,2304.687500000004,10416.666666666684,12721.354166666688,0,604166.6666666678
,39,58,604166.6666666678,2265.625000000004,10416.666666666686,12682.29166666669,0,593750.0000000012
,40,57,593750.0000000012,2226.562500000004,10416.666666666688,12643.229166666692,0,583333.3333333344
,41,56,583333.3333333344,2187.500000000004,10416.666666666686,12604.16666666669,0,572916.6666666677
,42,55,572916.6666666677,2148.4375000000036,10416.666666666684,12565.104166666688,0,562500.000000001
,43,54,562500.000000001,2109.3750000000036,10416.666666666686,12526.04166666669,0,552083.3333333344
,44,53,552083.3333333344,2070.312500000004,10416.666666666688,12486.979166666692,0,541666.6666666677
,45,52,541666.6666666677,2031.2500000000036,10416.666666666686,12447.91666666669,0,531250.0000000009
,46,51,531250.0000000009,1992.1875000000034,10416.666666666684,12408.854166666688,0,520833.33333333425
,47,50,520833.33333333425,1953.1250000000034,10416.666666666684,12369.791666666688,0,510416.66666666756
,48,49,510416.66666666756,1914.0625000000032,10416.666666666684,12330.729166666688,0,500000.0000000009
,49,48,500000.0000000009,1875.0000000000032,10416.666666666684,12291.666666666688,0,489583.3333333342
,50,47,489583.3333333342,1835.9375000000032,10416.666666666684,12252.604166666688,0,479166.6666666675
,51,46,479166.6666666675,1796.875000000003,10416.666666666684,12213.541666666688,0,468750.0000000008
,52,45,468750.0000000008,1757.812500000003,10416.666666666684,12174.479166666688,0,458333.3333333341
,53,44,458333.3333333341,1718.750000000003,10416.666666666684,12135.416666666688,0,447916.66666666744
,54,43,447916.66666666744,1679.687500000003,10416.666666666684,12096.354166666688,0,437500.00000000076
,55,42,437500.00000000076,1640.6250000000027,10416.666666666684,12057.291666666686,0,427083.33333333407
,56,41,427083.33333333407,1601.5625000000027,10416.666666666684,12018.229166666686,0,416666.6666666674
,57,40,416666.6666666674,1562.5000000000027,10416.666666666684,11979.166666666686,0,406250.0000000007
,58,39,406250.0000000007,1523.4375000000025,10416.666666666684,11940.104166666686,0,395833.333333334
,59,38,395833.333333334,1484.3750000000025,10416.666666666684,11901.041666666686,0,385416.6666666673
,60,37,385416.6666666673,1445.3125000000025,10416.666666666684,11861.979166666686,0,375000.00000000064
,61,36,375000.00000000064,1406.2500000000023,10416.666666666684,11822.916666666686,0,364583.33333333395
,62,35,364583.33333333395,1367.1875000000023,10416.666666666684,11783.854166666686,0,354166.66666666727
,63,34,354166.66666666727,1328.1250000000023,10416.666666666684,11744.791666666686,0,343750.0000000006
,64,33,343750.0000000006,1289.062500000002,10416.666666666684,11705.729166666686,0,333333.3333333339
,65,32,333333.3333333339,1250.000000000002,10416.666666666684,11666.666666666686,0,322916.6666666672
,66,31,322916.6666666672,1210.937500000002,10416.666666666684,11627.604166666686,0,312500.0000000005
,67,30,312500.0000000005,1171.8750000000018,10416.666666666684,11588.541666666686,0,302083.33333333384
,68,29,302083.33333333384,1132.8125000000018,10416.666666666684,11549.479166666686,0,291666.66666666715
,69,28,291666.66666666715,1093.7500000000018,10416.666666666684,11510.416666666686,0,281250.00000000047
,70,27,281250.00000000047,1054.6875000000018,10416.666666666684,11471.354166666686,0,270833.3333333338
,71,26,270833.3333333338,1015.6250000000016,10416.666666666684,11432.291666666686,0,260416.6666666671
,72,25,260416.6666666671,976.5625000000016,10416.666666666684,11393.229166666686,0,250000.0000000004
,73,24,250000.0000000004,937.5000000000015,10416.666666666684,11354.166666666686,0,239583.33333333372
,74,23,239583.33333333372,898.4375000000015,10416.666666666684,11315.104166666686,0,229166.66666666704
