input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 108, 'interest': 0.025, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,108,1000000,2083.3333333333335,9259.25925925926,11342.592592592593,0,990740.7407407408
,2,107,990740.7407407408,2064.043209876543,9259.25925925926,11323.302469135802,0,981481.4814814816
,3,106,981481.4814814816,2044.7530864197533,9259.259259259261,11304.012345679013,0,972222.2222222224
,4,105,972222.2222222224,2025.4629629629633,9259.259259259261,11284.722222222224,0,962962.9629629632
,5,104,962962.9629629632,2006.1728395061732,9259.259259259261,11265.432098765434,0,953703.7037037039
,6,103,953703.7037037039,1986.8827160493831,9259.259259259261,11246.141975308645,0,944444.4444444447
,7,102,944444.4444444447,1967.592592592593,9259.259259259263,11226.851851851856,0,935185.1851851855
,8,101,935185.1851851855,1948.3024691358032,9259.259259259263,11207.561728395067,0,925925.9259259263
,9,100,925925.9259259263,1929.0123456790132,9259.259259259263,11188.271604938276,0,916666.6666666671
,10,99,916666.6666666671,1909.722222222223,9259.259259259263,11168.981481481485,0,907407.4074074079
,11,98,907407.4074074079,1890.432098765433,9259.259259259265,11149.691358024698,0,898148.1481481487
,12,97,898148.1481481487,1871.141975308643,9259.259259259265,11130.401234567908,0,888888.8888888895
,13,96,888888.8888888895,1851.851851851853,9259.259259259265,11111.111111111117,0,879629.6296296302
,14,95,879629.6296296302,1832.561728395063,9259.259259259266,11091.82098765433,0,870370.370370371
,15,94,870370.370370371,1813.271604938273,9259.259259259266,11072.530864197539,0,861111.1111111118
,16,93,861111.1111111118,1793.981481481483,9259.259259259266,11053.24074074075,0,851851.8518518526
,17,92,851851.8518518526,1774.6913580246928,9259.259259259268,11033.950617283961,0,842592.5925925934
,18,91,842592.5925925934,1755.401234567903,9259.259259259268,11014.66049382717,0,833333.3333333342
,19,90,833333.3333333342,1736.111111111113,9259.259259259268,10995.370370370381,0,824074.074074075
,20,89,824074.074074075,1716.8209876543228,9259.25925925927,10976.080246913592,0,814814.8148148158
,21,88,814814.8148148158,1697.5308641975328,9259.25925925927,10956.790123456803,0,805555.5555555564
,22,87,805555.5555555564,1678.2407407407425,9259.25925925927,10937.500000000013,0,796296.2962962971
,23,86,796296.2962962971,1658.9506172839522,9259.259259259268,10918.20987654322,0,787037.0370370379
,24,85,787037.0370370379,1639.6604938271623,9259.25925925927,10898.919753086433,0,777777.7777777787
,25,84,777777.7777777787,1620.3703703703723,9259.25925925927,10879.629629629642,0,768518.5185185194
,26,83,768518.5185185194,1601.080246913582,9259.25925925927,10860.339506172852,0,759259.25925926
,27,82,759259.25925926,1581.7901234567917,9259.259259259268,10841.04938271606,0,750000.0000000008
,28,81,750000.0000000008,1562.5000000000016,9259.25925925927,10821.759259259272,0,740740.7407407416
,29,80,740740.7407407416,1543.2098765432117,9259.25925925927,10802.469135802481,0,731481.4814814823
,30,79,731481.4814814823,1523.9197530864215,9259.25925925927,10783.179012345692,0,722222.222222223
,31,78,722222.222222223,1504.6296296296312,9259.259259259268,10763.8888888889,0,712962.9629629637
,32,77,712962.9629629637,1485.339506172841,9259.25925925927,10744.59876543211,0,703703.7037037045
,33,76,703703.7037037045,1466.049382716051,9259.25925925927,10725.308641975322,0,694444.4444444452
,34,75,694444.4444444452,1446.7592592592607,9259.25925925927,10706.018518518531,0,685185.1851851859
,35,74,685185.1851851859,1427.4691358024706,9259.259259259268,10686.728395061738,0,675925.9259259267
,36,73,675925.9259259267,1408.1790123456806,9259.25925925927,10667.438271604951,0,666666.6666666674
,37,72,666666.6666666674,1388.8888888888905,9259.25925925927,10648.14814814816,0,657407.4074074081
,38,71,657407.4074074081,1369.5987654321002,9259.25925925927,10628.85802469137,0,648148.1481481488
,39,70,648148.1481481488,1350.30864197531,9259.259259259268,10609.567901234579,0,638888.8888888896
,40,69,638888.8888888896,1331.0185185185198,9259.25925925927,10590.27777777779,0,629629.6296296304
,41,68,629629.6296296304,1311.72839506173,9259.25925925927,10570.987654321,0,620370.370370371
,42,67,620370.370370371,1292.4382716049397,9259.25925925927,10551.69753086421,0,611111.1111111117
,43,66,611111.1111111117,1273.1481481481494,9259.259259259268,10532.407407407418,0,601851.8518518525
,44,65,601851.8518518525,1253.8580246913593,9259.25925925927,10513.117283950629,0,592592.5925925933
,45,64,592592.5925925933,1234.5679012345693,9259.25925925927,10493.82716049384,0,583333.333333334
,46,63,583333.333333334,1215.277777777779,9259.259259259268,10474.537037037047,0,574074.0740740747
,47,62,574074.0740740747,1195.9876543209891,9259.25925925927,10455.246913580258,0,564814.8148148155
,48,61,564814.8148148155,1176.697530864199,9259.259259259272,10435.956790123471,0,555555.5555555562
,49,60,555555.5555555562,1157.4074074074088,9259.25925925927,10416.666666666679,0,546296.2962962969
,50,59,546296.2962962969,1138.1172839506185,9259.259259259268,10397.376543209886,0,537037.0370370377
,51,58,537037.0370370377,1118.8271604938284,9259.25925925927,10378.0864197531,0,527777.7777777785
,52,57,527777.7777777785,1099.5370370370383,9259.259259259272,10358.79629629631,0,518518.5185185192
,53,56,518518.5185185192,1080.2469135802482,9259.259259259272,10339.50617283952,0,509259.2592592599
,54,55,509259.2592592599,1060.9567901234582,9259.259259259272,10320.21604938273,0,500000.00000000064
,55,54,500000.00000000064,1041.6666666666679,9259.259259259272,10300.92592592594,0,490740.74074074137
,56,53,490740.74074074137,1022.3765432098778,9259.259259259272,10281.635802469149,0,481481.4814814821
,57,52,481481.4814814821,1003.0864197530877,9259.259259259272,10262.34567901236,0,472222.22222222283
,58,51,472222.22222222283,983.7962962962976,9259.259259259272,10243.05555555557,0,462962.96296296356
,59,50,462962.96296296356,964.5061728395074,9259.259259259272,10223.765432098779,0,453703.7037037043
,60,49,453703.7037037043,945.2160493827173,9259.259259259272,10204.47530864199,0,444444.444444445
,61,48,444444.444444445,925.9259259259271,9259.259259259272,10185.185185185199,0,435185.18518518575
,62,47,435185.18518518575,906.6358024691369,9259.259259259272,10165.895061728408,0,425925.9259259265
,63,46,425925.9259259265,887.3456790123469,9259.259259259272,10146.60493827162,0,416666.6666666672
,64,45,416666.6666666672,868.0555555555567,9259.259259259272,10127.314814814828,0,407407.40740740794
,65,44,407407.40740740794,848.7654320987665,9259.259259259272,10108.024691358038,0,398148.14814814867
,66,43,398148.14814814867,829.4753086419764,9259.259259259272,10088.734567901249,0,388888.8888888894
,67,42,388888.8888888894,810.1851851851862,9259.259259259272,10069.444444444458,0,379629.62962963013
,68,41,379629.62962963013,790.8950617283961,9259.259259259272,10050.154320987667,0,370370.37037037086
,69,40,370370.37037037086,771.604938271606,9259.259259259272,10030.864197530878,0,361111.1111111116
,70,39,361111.1111111116,752.3148148148158,9259.259259259272,10011.574074074088,0,351851.8518518523
,71,38,351851.8518518523,733.0246913580256,9259.259259259272,9992.283950617297,0,342592.59259259305
,72,37,342592.59259259305,713.7345679012356,9259.259259259272,9972.993827160508,0,333333.3333333338
