input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'שפיצר', 'duration': 180, 'interest': 0.035, 'cpi': 0.015, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,180,1001250,2920.3125,7157.761445198519,4237.448945198519,1246.2656888185018,998258.81674362,12000,4842.238554801481
,2,179,998258.81674362,2911.588215502225,7166.708647005016,4255.120431502792,1242.5046203901466,995246.2009325073,12000,4833.291352994984
,3,178,995246.2009325073,2902.8014193864797,7175.667032813774,4272.865613427295,1238.71666914885,992212.0519882289,12000,4824.332967186226
,4,177,992212.0519882289,2893.951818299001,7184.636616604792,4290.6847983057905,1234.901708987404,989156.2688989106,12000,4815.363383395208
,5,176,989156.2688989106,2885.0391176218227,7193.617412375547,4308.578294753725,1231.0596132551962,986078.7502174121,12000,4806.382587624453
,6,175,986078.7502174121,2876.063021467452,7202.609434141018,4326.546412673566,1227.1902547559232,982979.3940594945,12000,4797.390565858982
,7,174,982979.3940594945,2867.023232673526,7211.612695933695,4344.589463260169,1223.293505745293,979858.0981019796,12000,4788.387304066305
,8,173,979858.0981019796,2857.9194527974405,7220.627211803611,4362.707759006171,1219.3692379287168,976714.7595809022,12000,4779.372788196389
,9,172,976714.7595809022,2848.7513821109646,7229.6529958183655,4380.901613707401,1215.4173224589936,973549.2752896538,12000,4770.3470041816345
,10,171,973549.2752896538,2839.518719594824,7238.69006206314,4399.171342468317,1211.4376299339817,970361.5415771194,12000,4761.30993793686
,11,170,970361.5415771194,2830.221162933265,7247.738424640719,4417.517261707454,1207.430030394265,967151.4543458062,12000,4752.261575359281
,12,169,967151.4543458062,2820.8584085086013,7256.798097671519,4435.939689162918,1203.394393320804,963918.909049964,12000,4743.201902328481
,13,168,963918.909049964,2811.4301513957284,7265.869095293609,4454.43894389788,1199.3305876325828,960663.8006936988,12000,4734.130904706391
,14,167,960663.8006936988,2801.936085356622,7274.9514316627265,4473.015346306105,1195.238481684241,957386.0238290769,12000,4725.0485683372735
,15,166,957386.0238290769,2792.3759028348077,7284.045120952304,4491.669218117497,1191.1179432636993,954085.4725542231,12000,4715.954879047696
,16,165,954085.4725542231,2782.749294949818,7293.150177353495,4510.400882403677,1186.9688395897742,950762.0405114092,12000,4706.849822646505
,17,164,950762.0405114092,2773.0559514916104,7302.2666150751875,4529.210663583577,1182.791037309782,947415.6208851354,12000,4697.7333849248125
,18,163,947415.6208851354,2763.2955609149785,7311.394448344031,4548.098887429052,1178.584402497133,944046.1064002034,12000,4688.605551655969
,19,162,944046.1064002034,2753.467810333927,7320.533691404462,4567.065881070535,1174.348800648916,940653.3893197818,12000,4679.466308595538
,20,161,940653.3893197818,2743.5723855160304,7329.684358518716,4586.111973002686,1170.084096683474,937237.3614434625,12000,4670.315641481284
,21,160,937237.3614434625,2733.608970876766,7338.846463966865,4605.237493090099,1165.7901549379656,933797.9141053105,12000,4661.153536033135
,22,159,933797.9141053105,2723.577249473822,7348.020022046824,4624.442772573002,1161.4668391659218,930334.9381719034,12000,4651.979977953176
,23,158,930334.9381719034,2713.476903001385,7357.2050470743825,4643.728144072998,1157.114012534788,926848.324040365,12000,4642.7949529256175
,24,157,926848.324040365,2703.307611784398,7366.401553383224,4663.093941598827,1152.7315376234578,923337.9616363897,12000,4633.598446616776
,25,156,923337.9616363897,2693.0690547728036,7375.609555324955,4682.540500552152,1148.319276419797,919803.7404122574,12000,4624.390444675045
,26,155,919803.7404122574,2682.7609095357507,7384.829067269111,4702.06815773336,1143.877090318155,916245.5493448421,12000,4615.170932730889
,27,154,916245.5493448421,2672.3828522557897,7394.060103603196,4721.677251347406,1139.4048401168684,912663.2769336115,12000,4605.939896396804
,28,153,912663.2769336115,2661.934557723034,7403.302678732701,4741.368121009667,1134.9023860157522,909056.8111986176,12000,4596.697321267299
,29,152,909056.8111986176,2651.4156993293013,7412.556807081116,4761.141107751815,1130.369587613582,905426.0396784793,12000,4587.443192918884
,30,151,905426.0396784793,2640.8259490622313,7421.8225030899675,4780.996554027736,1125.8063039055644,901770.8494283571,12000,4578.1774969100325
,31,150,901770.8494283571,2630.164977499375,7431.099781218829,4800.934803719454,1121.2123932807972,898091.1270179185,12000,4568.900218781171
,32,149,898091.1270179185,2619.4324538022624,7440.388655945354,4820.956202143092,1116.5877135197193,894386.7585292951,12000,4559.611344054646
,33,148,894386.7585292951,2608.628045710444,7449.689141765285,4841.061096054841,1111.9321217915503,890657.6295550318,12000,4550.310858234715
,34,147,890657.6295550318,2597.7514195355093,7459.001253192492,4861.249833656982,1107.2454746517185,886903.6251960265,12000,4540.998746807508
,35,146,886903.6251960265,2586.8022401550775,7468.325004758984,4881.522764603906,1102.5276280392782,883124.6300594618,12000,4531.674995241016
,36,145,883124.6300594618,2575.780171006764,7477.660411014932,4901.880240008168,1097.7784372743172,879320.528256728,12000,4522.339588985068
,37,144,879320.528256728,2564.6848740821233,7487.0074865287,4922.322612446576,1092.9977570553517,875491.2034013367,12000,4512.9925134713
